name,provider,provinces,basis,provider_type,eligibility_raw,income_cap_pkr,min_merit_pct,coverage,source_url
HEC Undergraduate Scholarship Program for Gilgit-Baltistan Students,"HEC + Directorate of Higher Education (Colleges), GB",Gilgit-Baltistan,Need + Merit,Government,GB domicile students admitted to top public sector universities,,,Tuition + stipend,https://www.hec.gov.pk/english/scholarshipsgrants/USP-GB
HEC Talent Hunt Youth Sports League / Pakistan University Sports Board (PUSB) support,HEC (with Pakistan Sports Board patronage),Federal / National,Merit-based,Government,High-performing student-athletes,,,"Scholarships for higher education + coaching, medals, prize money",https://www.hec.gov.pk/english/services/students/Sports/Pages/THYSL.aspx
NAVTTC Skill Development Program (Prime Minister's Youth Skill Development Program),NAVTTC (federal),Federal / National,Need + Merit,Government,Youth in technical/vocational training (some IT tracks admit bachelor's students/grads),,,"FREE TRAINING + STIPEND (~PKR 3,000-5,000/month) + toolkit - not a degree scholarship",https://navttc.gov.pk
Punjab Educational Endowment Fund (PEEF) Undergraduate Scholarship,Punjab Educational Endowment Fund,Punjab,Need + Merit,Government,"Talented, financially deserving students of Punjab",,,Tuition fee + stipend,https://www.peef.org.pk
PEEF Special Quota Scholarship,Punjab Educational Endowment Fund,Punjab,Need-based,Government,"Orphans, BPS 1-4 govt employees' children, disabled, minorities, martyrs' children",,,Tuition fee + stipend (20% special quota),https://www.peef.org.pk/scholarships
Chief Minister's Honhaar Undergraduate Scholarship Program,Punjab HEC (PHEC) / Govt of Punjab,Punjab,Need + Merit,Government,"Punjab domicile, age ≤22, family income <PKR 300,000/month, 68 selected disciplines at 50+ universities",300000,,100% tuition fee coverage,https://honhaarscholarship.punjabhec.gov.pk
Punjab Zakat & Ushr Department - Educational Stipends (General),Punjab Zakat & Ushr Department (via Local Zakat Committees),Punjab,Need-based,Government,Poor/deserving Muslim students in govt-recognized colleges/universities,,,"PKR 15,000/yr (BS/Grad/PG); PKR 20,000/yr (Engineering/Medical/CS); PKR 10,000/yr Intermediate",https://zakat.punjab.gov.pk/education-stipends-general
Punjab Bait-ul-Maal - Education Stipend,Punjab Bait-ul-Maal Council,Punjab,Need-based,Government,Deserving/underprivileged students (apply via District Bait-ul-Maal Committee),,,Stipend determined case-by-case by District Committee,https://baitulmaal.punjab.gov.pk/education_stipend
Punjab Government Servants Benevolent Fund - Education Scholarships,Punjab Benevolent Fund,Punjab,Need + Merit,Government,Children of Punjab government servants,,,"Scholarships incl. PKR 50,000 for 90%+ scorers",https://pbf.punjab.gov.pk
Punjab Police Welfare Fund - Education Scholarships,Punjab Police Welfare Fund,Punjab,Need + Merit,Government,Children of serving/retired/martyred police personnel,,,"Intermediate PKR 15,000-20,000/yr; Graduation PKR 20,000-25,000/yr; higher for MA/MSc/MPhil; PKR 20,000 books allowance for top-5 HEC universities",https://punjabpolice.gov.pk/police_welfare
Punjab Workers Welfare Fund (PWWF) - Talent Scholarship,Punjab Workers Welfare Board/Fund,Punjab,Need + Merit,Government,Children of registered workers (3+ yrs service),,,"Tuition + educational-cost coverage, primary through PhD",https://pwwf.punjab.gov.pk/scholarship
Punjab Human Rights & Minorities Affairs Dept - Minority Scholarship,"HR & Minorities Affairs Dept, Govt of Punjab (via PITB/PEEF)",Punjab,Merit-based,Government,"Religious-minority students with Punjab domicile, matric to master's level",,,"Amounts vary by level (~PKR 30,000-100,000 per aggregators; confirm officially)",https://hrma.punjab.gov.pk/educational-scholarship
PEEF Scholarship for Gilgit-Baltistan Students (cross-region quota),"PEEF + Directorate of Higher Education (Colleges), GB",Gilgit-Baltistan,Need + Merit,Government,"GB domicile, govt school/college pass-outs, ≥60% marks, income ≤PKR 60,000/month",60000,60,Tuition fee + stipend,https://www.peef.org.pk/other-provinces
PEEF Scholarship for Balochistan Students (cross-region quota),Punjab Educational Endowment Fund,Balochistan,Need + Merit,Government,"Balochistan domicile, ≥60% marks or 2.5 CGPA, income ≤PKR 60,000/month",60000,60,Tuition + stipend,https://www.peef.org.pk/other-provinces
Sindh Educational Endowment Fund (SEEF) Scholarship,"College Education Department, Govt of Sindh",Sindh,Need + Merit,Government,Sindh domicile students at SEEF-panel universities; min 60%/2.5 CGPA,,60,One year's tuition fee (renewable),https://seef.sindh.gov.pk
Sindh Zakat & Ushr Department - Need-cum-Merit Educational Stipend,Sindh Zakat & Ushr Department (via Local Zakat Committees),Sindh,Need + Merit,Government,Mustahiq students in colleges/universities; Istehqaq certificate required,,,Educational stipend (rates set by Zakat administration),The application process is decentralized through each individual public university's Student Financial Aid Office (SFAO)
Sindh Minorities Affairs Dept - Minority (Non-Muslim) Scholarship,"Minorities Affairs Dept, Govt of Sindh",Sindh,Need-based,Government,"Non-Muslim students in govt institutions, prev. exam ≥50%, income ≤PKR 35,000/month",35000,50,"Recently increased from PKR 25,000 to PKR 50,000 per student",Sindh Minorities Affairs Department requires physical submission and validation through your educational institution.       https://sbbusba.edu.pk/files/scholarships/SCHOLARSHIP-FORMS-FOR-YEAR-MINORITY-2025-2026.pdf
Sindh Government Servants Benevolent Fund - Education Scholarships,"Services, General Admin & Coordination Dept (SGA&CD), Govt of Sindh",Sindh,Category-based,Government,Children of Sindh provincial government employees,,,Education scholarships (rates case-by-case),https://sgacd.sindh.gov.pk/benevolent-fund
Khyber Pakhtunkhwa Education Foundation (KPEF) - Merit cum Inaffordability Scholarship,Khyber Pakhtunkhwa Education Foundation,Khyber Pakhtunkhwa,Need + Merit,NGO / Foundation,KP domicile students at approved institutions; renewal needs 3.0 CGPA/70%,,70,Lump-sum scholarship disbursed via institution,https://ef.kp.gov.pk/scholarships
Chief Minister's Education Endowment Fund (CMEEF),"Higher Education, Archives & Libraries Dept, Govt of KP",Khyber Pakhtunkhwa,Merit-based,Government,"KP domicile; income ≤PKR 100,000/month; UG/Grad/PhD abroad (QS Top 300)",100000,,Tuition + monthly stipend,https://hed.gkp.pk/content/chief-minister-educational-endowment-fund-cmeef
"KP Zakat, Ushr & Social Welfare Dept - Educational Stipends (General)","Zakat, Ushr, Social Welfare, Special Education & Women Empowerment Dept, Govt of KP",Khyber Pakhtunkhwa,Need-based,Government,Mustahiq students at colleges/universities/professional institutions,,,Educational stipend (rates set by Zakat administration),https://swkpk.gov.pk
KP Worker Welfare Board - Merit Scholarships,KP Worker Welfare Board,Khyber Pakhtunkhwa,Merit-based,Government,Children of registered industrial workers,,,Merit scholarships (plus other welfare measures),https://workerwelfareboard.kp.gov.pk
Balochistan Education Endowment Fund (BEEF) Scholarship,"Balochistan Education Endowment Fund (Finance Dept, Govt of Balochistan)",Balochistan,Need + Merit,Government,Balochistan domicile; ≥60% marks or 2.5 CGPA; enrolled in govt institutions,,60,Tuition + educational expenses,https://beef.org.pk
KP Benevolent Fund Merit Scholarship,Benevolent Fund Khyber Pakhtunkhwa (BFKP),Khyber Pakhtunkhwa,Merit-based,Government,"Children of serving KP provincial government employees, 1st Division in SSC/Inter/Bachelor",,,"Merit-tiered fund share (BPS 1-4: 40%, BPS 5-15: 40%, BPS 16+: 20% of allocated fund; varies by year, not fixed PKR)","www.bfkp.org,"
AJK State Talent Scholarship,AJK Government (Higher Education Department),Azad Jammu & Kashmir,Merit-based,Government,"Students in govt/semi-govt/private AJK institutions, all levels incl. BA/BSc",,,"Merit scholarships (~1,258 students/year)",https://hed.ajk.gov.pk
Fauji Foundation Educational Stipend Scheme (FFES),Fauji Foundation (private welfare trust),"Azad Jammu & Kashmir, Federal / National",Merit-based,NGO / Foundation,"Children/widows of retired/deceased/disabled ex-servicemen (Army/Navy/Air Force, 10+ yrs service); min. 80% in Matric/FA/FSc",,80,"Monthly stipend for school through undergraduate (incl. Engineering/MBBS/BDS); reported up to ~PKR 78,000 for BS students",https://www.iiu.edu.pk/scholarships/scholarships-at-iiui/fauji-foundation-scholarships/
Al-Khidmat Academic Scholarship (AAS),"Alkhidmat Foundation Pakistan (NGO, welfare wing of Jamaat-e-Islami)","Gilgit-Baltistan, Azad Jammu & Kashmir, Federal / National",Need-based,NGO / Foundation,"Financially underprivileged students, Intermediate to Bachelor's/Master's/DAE/professional programs; enrolled in govt-recognized institutions; min. 70% Matric / 65% Intermediate+",,70,"Monthly stipend (~PKR 9,000/month, ~PKR 108,000/year cited) covering tuition, books, and expenses",https://scholarships.alkhidmat.org
Dalda Foundation Scholarship,Dalda Foundation Trust (charity arm of Dalda Foods Pakistan),Federal / National,Need-based,NGO / Foundation,"Guardian's monthly income ≤ PKR 50,000; Intermediate, Bachelor's, and Master's level students",50000,,"100% tuition fee coverage + monthly stipend PKR 5,000-10,000 + hostel accommodation (if applicable) + book support",https://daldafoundation.pk/education
TCF-PAC Alumni Scholarship (Chartered Accountancy),The Citizens Foundation (TCF) + Professionals Academy of Commerce (PAC),Federal / National,Need + Merit,NGO / Foundation,TCF school alumni pursuing Chartered Accountancy studies (5 seats/year),,,Financial aid up to PKR 5 million covering tuition + books for full CA course,https://www.tcf.org.pk
Chinese Government Scholarship (CSC) - Bilateral Program,China Scholarship Council; nominated by HEC Pakistan; Embassy of PR China,"Azad Jammu & Kashmir, Federal / National, International",Merit-based,International,"Pakistani/AJK nationals, no dual nationality, 12 years of education (Intermediate/A-Level/FA/FSc), under 25",,,"Full tuition, accommodation or subsidy, monthly stipend, health insurance; travel borne by student. 75 seats for 2026-27 cycle (35 Bachelor's, 25 Master's, 15 PhD)",hec.gov.pk (CGSP eligibility page); pk.china-embassy.gov.cn
Turkiye Burslari (Turkish Government Scholarship),Turkiye Scholarships (Government of Turkiye),"Federal / National, International",Merit-based,International,Undergraduate applicants under 21,,,"Full tuition, monthly stipend (4,500 TL/month undergraduate), free state-dormitory accommodation, round-trip airfare, health insurance, one-year Turkish language course. Application window 10 Jan-20 Feb 2026",turkiyeburslari.gov.tr
USEFP Global UGRAD (Global Undergraduate Exchange Program),"U.S. Department of State Bureau of Educational and Cultural Affairs; administered in Pakistan by USEFP, in US by IREX","Federal / National, International",Merit-based,International,"Over 18, enrolled undergraduate in good standing with at least one year remaining; in Pakistan, currently in 3rd or 4th semester",,,"Full tuition, textbooks, airfare, living stipend, health insurance (one-semester non-degree exchange, not a full degree)",usefp.org/scholarships/global-ugrad.cfm; exchanges.state.gov
Fulbright (USEFP),USEFP,"Federal / National, International",Merit-based,International,Postgraduate only (Master's/PhD) - NOT open to undergraduates,,,Funds graduate study only; clinical medicine excluded; return/service bond applies,USEFP official site
Commonwealth Scholarships,Commonwealth Scholarship Commission (UK/FCDO); HEC nominates in Pakistan,"Federal / National, International",Merit-based,International,Postgraduate only (Master's/PhD) - NOT open to undergraduates,,,N/A - postgraduate only,CSC UK official page
DAAD (German Academic Exchange Service),"DAAD, Germany","Federal / National, International",Other,International,No undergraduate degree scholarships currently offered for Pakistanis (RISE Worldwide summer research internship is a non-degree exception),,,Funds Master's/PhD and research only,mygermanuniversity.com
Global Korea Scholarship - Undergraduate (GKS-U),NIIED (Republic of Korea); Embassy of Korea in Islamabad (Embassy Track),"Federal / National, International",Merit-based,International,Applicants under 25 (e.g. born after 1 March 2002 for 2027 intake),,,"Tuition, living expenses, airfare, medical insurance, one-year Korean language training. Note: Embassy Track quota for Pakistan is very small (as few as 1 seat some cycles)",overseas.mofa.go.kr; studyinkorea.go.kr
Japan MEXT Undergraduate Scholarship,"Japanese Ministry of Education, Culture, Sports, Science and Technology (MEXT); Embassy of Japan in Pakistan","Federal / National, International",Merit-based,International,Open to Pakistani undergraduate applicants; program introduced in Pakistan in 1958,,,"Full tuition, monthly allowance, round-trip airfare; no application fee (embassy warns of no agents/fees)",pk.emb-japan.go.jp (MEXT Undergraduate Scholarship page)
Islamic University of Madinah Scholarship,Islamic University of Madinah (Saudi government / Ministry of Education),"Federal / National, International",Merit-based,International,"Undergraduate applicants generally aged 17-25, secondary-education completion required",,,"Monthly allowance, free furnished accommodation, healthcare, annual/entry air tickets, subsidized meals; no application fee. Undergraduate deadline mid-June (e.g., 14 June 2026 for 2027 cycle)",studyinsaudi.moe.gov.sa
Erasmus Mundus Joint Masters,European Union / EACEA; consortia of European universities (HEC promotes only),"Federal / National, International",Merit-based,International,Postgraduate only - requires bachelor's degree or final-year undergraduate status,,,N/A - postgraduate only,HEC / EACEA
Aga Khan Foundation International Scholarship Programme (AKF ISP),Aga Khan Foundation (AKDN),"Federal / National, International",Need + Merit,International,Postgraduate only (priority to Master's) - Pakistan is an eligible country; distinct from community-restricted AK-USP undergraduate program,,,50% grant / 50% loan basis,Aga Khan Foundation official site
Stipendium Hungaricum Scholarship Programme,Hungary,"Azad Jammu & Kashmir, Federal / National",Merit-based,Government,Pakistani/AJK national; apply via BOTH the Stipendium Hungaricum portal AND HEC portal; must sit HAT/USAT test; specific eligible programs defined by HEC each cycle,,,"100% tuition waiver + monthly stipend (~43,700 HUF/month for BS/Master's) + accommodation contribution + health insurance; NO application fee",VERIFIED
Government of Brunei Darussalam Scholarship (BDGS),Brunei Darussalam,Not specified,Merit-based,Government,Age 18-25 (Diploma/Undergraduate) as of ~31 July of intake year; citizens of ASEAN/Commonwealth/OIC member countries eligible (Pakistan qualifies); not for Brunei permanent residents,,,Full tuition exemption + economy air ticket + monthly personal allowance (BND $500) + meal allowance (BND $150/month) + book allowance (BND $600/year) + on-campus accommodation + health insurance,VERIFIED
Al-Azhar University Scholarship for Pakistani Students (Bachelor's in Shari'ah Sciences),Egypt,"Azad Jammu & Kashmir, Federal / National",Merit-based,Government,"Pakistani/AJK national; qualification specifically in Shari'ah Sciences, Islamic Studies, Shahadat-ul-Alamiya, Dars-e-Nizami or equivalent — NOT open to students with other academic backgrounds; must meet Al-Azhar's own admission requirements",,,Recently expanded from 30 to 50 seats (2026 cycle); fully funded per HEC announcement — tuition + monthly stipend; apply via Al-Azhar's International Students Portal + HEC,VERIFIED (narrow eligibility — Islamic Studies/Shari'ah applicants only)
Kazakhstan Government Scholarship,Kazakhstan,Not specified,Merit-based,Government,"Details only found on secondary/aggregator sites (studyabroad.pk); no official HEC or Kazakh-government primary source page could be confirmed during this search. NOTE: Kazakhstan's actual flagship 'Bolashak' scholarship is historically for Kazakh citizens only, not foreigners — this may be a different, less-established bilateral program or an aggregator conflating two things",,,Full tuition + monthly stipend + accommodation support (per secondary sources only),COULD NOT FULLY VERIFY — no official primary source found; treat with caution and verify directly with Kazakhstan's embassy in Pakistan before relying on this
Azerbaijan Government Scholarship (AIDA Educational Grant),Azerbaijan,"Azad Jammu & Kashmir, Federal / National, International",Merit-based,International,Pakistani/AJK national; language proficiency required (Russian/Turkish/English depending on program),,,Full tuition + associated benefits per AIDA program terms,"VERIFIED PROGRAM EXISTS, but undergraduate seat availability is inconsistent/very limited some cycles — confirm current-year seat count and level before treating as an undergraduate option"
Fauji Fertilizer Company (FFC) / Sona Welfare Foundation (SWF) Scholarship,Sona Welfare Foundation (NPO of Fauji Fertilizer Company Limited),Balochistan,Need + Merit,Corporate,Children of farmers; landholding not exceeding 12.5 acres with affidavit of farming as primary income; ~85% marks (75% for Balochistan/GB/ex-FATA domiciles); enrolled at government-recognized colleges/universities,,85,"Merit scholarship / monthly stipend. Disciplines: engineering, agriculture, computer science, management, social sciences",swof.sonafoundation.org.pk
"Bank Alfalah ""Alfalah Scholars Programme"" (with Habib University)","Bank Alfalah Limited (CSR), in partnership with Habib University, Karachi",Not specified,Need + Merit,Corporate,"High-merit, financially deserving students admitted to Habib University in social sciences or engineering; emphasis on women and differently-abled applicants; 4 scholars",,,All educational expenses across the four-year degree; PKR 6.4 million annual commitment (PKR 25.6 million over four years),"bankalfalah.com press release (Karachi, 27 June 2023)"
"Lucky Cement Undergraduate Scholarship (""Lakki Pezu Scholarship Program"")",Lucky Cement Limited (Yunus Brothers Group),Not specified,Merit-based,Corporate,"Must be a permanent resident and domicile holder of District Lakki Marwat; must already be admitted to NUST, COMSATS (CIIT Islamabad), GIK Institute, UET Lahore/Peshawar, or FAST",,,"Tuition-expense assistance only; other costs borne by student. Disciplines: business management, engineering, medical",lucky-cement.com
Getz Pharma Endowed Scholarship at IBA Karachi,"Getz Pharma, via MoU establishing an endowment at IBA Karachi",Federal / National,Merit-based,Corporate,Deserving students in IBA's undergraduate program admitted through IBA's National Talent Hunt Program (NTHP); not a direct-apply public scholarship,,,Endowment scholarship worth PKR 30 million at IBA (signed 20 September 2021),getzpharma.com; iba.edu.pk
HBL Foundation,HBL Foundation (CSR arm of Habib Bank Limited),Azad Jammu & Kashmir,Need-based,Corporate,"One named undergraduate award: ""MUST HBL Foundation Scholarship"" at Mirpur University of Science and Technology (AJK); no standalone general public HBL Foundation undergraduate portal found",,,"HBLF broadly funds healthcare, education and vocational training",hbl.com / HBL Foundation
"Nestle Pakistan / GSK Pakistan / Jazz / Telenor / Zong / Ufone / Standard Chartered ""Goal"" / Descon / Packages / Nishat / Sitara Chemical / Coca-Cola Pakistan / UBL / PTCL-Ufone Foundation",Various corporations,Not specified,Other,Corporate,"No verifiable open undergraduate tuition scholarship found; official pages show only internships/traineeships (e.g., Nestle ""NESTERNship""), rural-connectivity CSR, or non-tuition programs (Standard Chartered's ""Goal"" is a girls' life-skills/financial-literacy program, not a tuition scholarship)",,,N/A,Respective official company/CSR pages
Professional Education Foundation (PEF Karachi),"Professional Education Foundation, Karachi (thepef.com; PEF-UK, PEF-USA affiliates)",Not specified,Need + Merit,NGO / Foundation,Students at partner universities; applications routed through student-affairs office; Zakat-eligible option available,,,"Need-cum-merit scholarships/financial assistance for undergraduate/professional study (engineering, medicine, agriculture, technology, management); ~2,700 scholarships in a recent year; funding may be a grant OR an interest-free loan (via Ihsan Trust) - clarify before applying",thepef.com
Ihsan Trust,"Ihsan Trust, Karachi (Waqf structure, backed by Meezan Bank's charity fund; Shariah-compliant)",Not specified,Need + Merit,NGO / Foundation,Pakistani citizens (male/female); not for study abroad currently; application routed through university's financial-aid office,,,"Qarz-e-Hasna (interest-free loan), repayable with token monthly repayment during study, full repayment adjusted to income after graduation; described as the largest private interest-free higher-education loan provider in Pakistan",ihsantrust.org
Hashoo Foundation Scholarship,"Hashoo Foundation (Hashoo Group), Islamabad",Not specified,Need + Merit,NGO / Foundation,"Pakistani citizens; preference to students from remote, low-income areas; undergraduate study at HEC-recognized universities",,,50% grant / 50% loan structure; current-year availability could not be confirmed on live official site,hashoofoundation.org
Aga Khan Undergraduate Scholarship Programme (AK-USP),"Aga Khan Education Board, Pakistan (AKEB,P), under the Scholarship Advisory Committee",Not specified,Need + Merit,NGO / Foundation,"Restricted to members of the Ismaili community (""the Jamat""); minimum 65% in each of SSC and HSC (cumulative 135%); confirmed admission to an approved institution",,65,"Partial funding, described as an ""avenue of last resort""; distinct from AKF ISP (postgraduate, open to all Pakistanis)","Aga Khan Education Board, Pakistan"
Developments in Literacy (DIL),Developments in Literacy (dilpakistan.org / dil.org),Not specified,Need-based,NGO / Foundation,Restricted to DIL's own school graduates; 320+ scholars at Pakistani universities,,,Full scholarships via donor partner U-Go,dilpakistan.org
The Citizens Foundation (TCF),The Citizens Foundation (tcf.org.pk),Not specified,Need-based,NGO / Foundation,"Restricted to TCF's own school alumni; governed by published ""TCF Tertiary Education Support Policy For Alumni""",,,Tertiary-education support for alumni; includes TCF-PAC Chartered Accountancy financial aid (up to Rs 5 million; 5 alumni/year),tcf.org.pk
Behbud Association (Karachi),Behbud Association Karachi (behbudkarachi.org.pk); PCP-certified NPO,Not specified,Need-based,NGO / Foundation,"Primarily school-level (merit scholarships class III-X); a ""Student for Higher Education - Rs. 45,000/year"" sponsorship line exists on the donation page but no documented open undergraduate scholarship program with published eligibility criteria",,,Limited higher-education sponsorship; no formal published undergraduate program,behbudkarachi.org.pk
LRBT / Karwan-e-Hayat / Roshni (Roshni Helpline) / Kashf Foundation,Respective NGOs,Not specified,Other,NGO / Foundation,N/A,,,"LRBT runs free eye-care/blindness-prevention services only; Karwan-e-Hayat is a mental-health-care NGO only; Roshni is a missing-children/child-protection NGO only; Kashf Foundation is a microfinance institution whose education product (""Kashf School Sarmaya"") is a loan to low-cost private schools, not a student scholarship. None run an education scholarship",Respective official NGO sites
Bunyad Foundation / Zindagi Trust / Alif Ailaan / SRSP / HANDS / ITA (Idara-e-Taleem-o-Aagahi) / Ansar Burney Trust / Sitara Foundation / Rafhan Foundation / Bait-us-Salam,Respective NGOs/Trusts,Not specified,Other,NGO / Foundation,N/A,,,"No open undergraduate scholarship program could be verified via an official source; several are focused on schooling, literacy, advocacy, or rural development rather than undergraduate tuition scholarships",Respective official NGO/Trust sites (aggregator listings not treated as confirmed)
Scholarship Name,University (Provider),Not specified,Need + Merit,Government,Eligible Students,,,Coverage/Benefits,Official Source
National Outreach Programme (NOP),LUMS (own funds + donors),Federal / National,Need + Merit,Government,Students who go through NOP's Summer Coaching Session and qualify on merit for admission,,,"Full support: admission, tuition, registration fees, lab charges, accommodation, meals, stipend — up to ~140% of costs",https://nop.lums.edu.pk
LUMS Undergraduate Financial Aid (need-based),LUMS (own funds),Federal / National,Need-based,Government,"Any admitted undergrad demonstrating financial need, reassessed yearly",,,"Loan + waiver combo; covers tuition, registration fee, lab charges; 20%–100% of tuition",https://financial-aid.lums.edu.pk
LUMS Undergraduate Merit Scholarships,LUMS (own funds),Federal / National,Merit-based,Government,Top-performing admitted students,,,100 merit scholarships available; varies by rank,https://financial-aid.lums.edu.pk
NUST Need-Based Scholarship (NNBS),NUST (own resources + external funding),Federal / National,Need-based,Government,UG & Masters students; assessed via Net Disposable Income of family,,,"Partial to full tuition + fee coverage, up to 4 years for UG",https://fao.nust.edu.pk
NUST Merit-Based Financial Assistance,NUST (own funds),Federal / National,Merit-based,Government,"UG students with minimum semester GPA 3.5, limited slots",,,Monthly financial assistance amount (tiered by GPA),https://nust.edu.pk/admissions/scholarships
IBA Need-Based Financial Assistance,"IBA Karachi (own funds, Zakat, donors)",Federal / National,Need-based,Government,Full-time morning-program undergrads with demonstrated need,,,Bridge financing 25%–90% of tuition until donor placement; up to 8 semesters,https://www.iba.edu.pk/financialassistance
IBA National Talent Hunt Program (NTHP),Institute of Business Administration (IBA) Karachi,Federal / National,Need + Merit,Government,Students with 70%+ in HSSC-I/II; from underprivileged areas; all provinces eligible,,70,"Up to 100% scholarship covering tuition + fees; PKR 3,000-4,000/month stipend; transport/accommodation support; Qarz-e-Hasna facility",https://nthp.iba.edu.pk/
IBA OGDCL Talent Hunt Program,IBA Karachi + Oil & Gas Development Company Limited,Not specified,Need + Merit,Government,Students from selected districts (OGDCL-focused); HSSC-I/II passed with 70%+,,70,Full scholarship (100%) or Qarz-e-Hasna; covers tuition & living expenses,https://www.iba.edu.pk/
GIKI Need-Based Financial Assistance,GIK Institute (own funds),Federal / National,Need + Merit,Government,Admitted UG students who apply with financial documents,,,Partial to full tuition coverage; ~Rs. 200 million distributed annually across all GIKI aid,https://giki.edu.pk/admissions/admissions-undergraduates/scholarships-fa
GIKI Alumni Association Financial Assistance,"GIKI Alumni Association (separate from institute, but university-linked)",Federal / National,Need + Merit,Government,Currently enrolled GIKI undergrads,,,"Partial, rarely full tuition coverage",https://gikialumni.org/scholarships
FAST-NUCES Need-Based Financial Assistance,FAST-NUCES (own funds),Federal / National,Need-based,Government,"Admitted undergrads facing genuine financial hardship, renewed each semester on academic performance",,,"Interest-free loan, covers tuition fees only; discontinued if CGPA drops below minimum",https://www.nu.edu.pk/Student/FinancialRules
FAST-NUCES Merit Scholarship,FAST-NUCES (own funds),Federal / National,Merit-based,Government,Top 3 position holders of each Examination Board; top 3 in each campus's admission merit list,,,100% tuition fee for 8 regular semesters; must maintain CGPA ≥ 3.00,https://www.nu.edu.pk/Student/FinancialRules
Habib University Financial Aid Grants,Habib University (own funds),Federal / National,Need-based,Government,"Any admitted student, assessed via financial aid application; reassessed annually",,,"Grants (not repayable), partial to full tuition support; ~85% of HU students receive some aid",https://habib.edu.pk/admissions/student-finance
Yohsin Scholarship,Habib University (own funds/donors),Federal / National,Merit-based,Government,High-merit admitted students,,,100% tuition scholarship,https://habib.edu.pk/giving/student-support
Habib Excellence Scholarship,Habib University (own funds/donors),Federal / National,Merit-based,Government,Students demonstrating excellent merit,,,60–80% of tuition and additional fees,https://habib.edu.pk/giving/student-support
