university_id,degree_name,merit_formula,eligibility_pct,url
5,BS Electrical Engineering,"~63% (2025 estimate, Islamabad campus)",60,https://freetoolforge.org/air-merit-calculator
5,BS Financial Technologies (BSFinT),Available upon contact,50,https://www.au.edu.pk/pages/admission/eligibility_criteria.aspx
5,BS Psychology,Available upon contact,50,https://www.au.edu.pk/pages/admission/eligibility_criteria.aspx
6,BS Computer Science,Available upon contact,60,https://pmdc.org.pk/al-hamd-islamic-university-aiu-admission-guide/
6,BS Islamic Studies,Available upon contact,60,https://pmdc.org.pk/al-hamd-islamic-university-aiu-admission-guide/
6,BS Management Sciences,Available upon contact,60,https://pmdc.org.pk/al-hamd-islamic-university-aiu-admission-guide/
6,DPT,Available upon contact,60,https://pmdc.org.pk/al-hamd-islamic-university-aiu-admission-guide/
6,Pharm-D,Available upon contact,60,https://pmdc.org.pk/al-hamd-islamic-university-aiu-admission-guide/
7,BBA,Available upon contact,,https://www.jobz.pk/al-karam-international-university-admission-in-bcs-mcs-and_admissions-21611.html
7,BS Arabic / Quranic Studies / Islamic Jurisprudence,Available upon contact,,https://www.result.pk/colleges/al-karam-international-institute.html
7,BS Management Sciences / Economics / IT and Computer Science / Languages,Available upon contact,,https://www.result.pk/colleges/al-karam-international-institute.html
8,BS (Hons) Management (in affiliation with GCU Lahore),Available upon contact,50,https://alqadir.edu.pk/criteria-bs-management/
8,BS Islamic Studies,Available upon contact,50,https://alqadir.edu.pk/criteria-bs-management/
9,BS Education / Special Education,Available upon contact,,https://www.ilmkidunya.com/colleges/ali-institute-of-education-lahore-admission.aspx
9,BS Science Education / English Language Teaching,Available upon contact,,https://www.studysolutions.pk/ali-institute-of-education-lhr-admission/
10,"BS (various, e.g. Education, Economics, Urdu, Mass Communication)","Not applicable - open admission (non-competitive, distance learning)",45,https://moawin.pk/admission_details/1396
10,BS Islamic Studies,Not applicable - open admission,,https://www.aiou.edu.pk/sites/default/files/2025-07/Fee%20&%20Eligibility%20Autumn%202025.pdf
10,BS Mass Communication,Not applicable - open admission,,https://www.aiou.edu.pk/sites/default/files/2025-07/Fee%20&%20Eligibility%20Autumn%202025.pdf
10,BSc (Hons) Agriculture,Not applicable - open admission,,https://www.eduvision.edu.pk/admissions/allama-iqbal-open-university-islamabad-admissions-bachelor-level-5
11,BS Archaeology / History / Environmental Sciences,Available upon contact,,https://aror.edu.pk/admissions/
11,BS Architecture / Civil Engineering,Available upon contact,,https://aror.edu.pk/admissions/
11,BS Artificial Intelligence / Multimedia and Gaming,Available upon contact,,https://aror.edu.pk/
11,BS Fashion Design / Textile Design / Ceramic Design / Visual Arts / Digital Art,Available upon contact,,https://aror.edu.pk/eligibility-criteria/
12,BBA (Business Administration),Available upon contact,,https://hep.punjab.gov.pk/Publicprograms/institute_detail/?institute_id=865&subject_id=2791
12,BS Computer Science,"50.00% (Fall 2024 official merit list, last selected candidate)",,https://admissions.bgnu.edu.pk/download/1784610801_9607_merit.pdf
12,BS Information Technology / Psychology,Available upon contact,,https://hep.punjab.gov.pk/Publicprograms/institute_detail/?institute_id=865&subject_id=2791
12,BS Mathematics,Available upon contact,,https://hep.punjab.gov.pk/Publicprograms/institute_detail/?institute_id=865&subject_id=2791
12,BS Zoology / Botany / Chemistry / Physics,Available upon contact,,https://hep.punjab.gov.pk/Publicprograms/institute_detail/?institute_id=865&subject_id=2791
13,BS Biotechnology,Available upon contact,45,https://www.ilmkidunya.com/colleges/bacha-khan-university-charsadda-admission.aspx
13,BS Chemistry,Available upon contact,45,https://www.ilmkidunya.com/colleges/bacha-khan-university-charsadda-admission.aspx
13,BS Computer Science,Available upon contact,45,https://www.ilmkidunya.com/colleges/bacha-khan-university-charsadda-admission.aspx
13,BS Economics,Available upon contact,45,https://www.ilmkidunya.com/colleges/bacha-khan-university-charsadda-admission.aspx
13,Pharm-D,Available upon contact,45,https://www.ilmkidunya.com/admissions/Admission-Open-in-Bacha-Khan-University-Charsadda-21791.aspx
14,BBA (Hons),Available upon contact,45,https://www.result.pk/colleges/bahauddin-zakariya-university-bzu-multan-merit-list.html
14,"BS (general, most departments)","~78.7% (2026 cycle example, general BS programs)",45,https://iubfun.com/bzu-merit-list/
14,BS Computer Science,Available upon contact,45,https://www.result.pk/merit-list/bahauddin-zakariya-university-bzu-multan/multan-latest/
14,BS Engineering (Pre-Engineering based),Available upon contact,60,https://www.pakistantruth.com/bzu-multan-undergraduate/
14,LLB,Available upon contact,45,https://www.result.pk/colleges/bahauddin-zakariya-university-bzu-multan-merit-list.html
14,Pharm-D,Available upon contact,60,https://www.result.pk/colleges/bahauddin-zakariya-university-bzu-multan-merit-list.html
15,BDS,Available upon contact,60,https://www.edumap.blog/2025/09/bahria-university-aggregate-calculator-for-medical-programs.html
15,BS Computer Science,Available upon contact,50,https://blog.maqsad.io/blog/bahria-university-admission-guide
15,BS Public Health,Available upon contact,50,https://www.bahria.edu.pk/page/PageTemplate4?pageContentId=3342&websiteId=5
15,LLB (5 Years),Available upon contact,50,https://blog.maqsad.io/blog/bahria-university-admission-guide
15,MBBS,Available upon contact,60,https://www.edumap.blog/2025/09/bahria-university-aggregate-calculator-for-medical-programs.html
16,B.Ed,Available upon contact,,https://admissionscorner.com/buetk-khuzdar-admissions/
16,BSc Civil Engineering,Available upon contact,,https://www.pakadmissions.com/balochistan-university-of-engineering-technology-khuzdar-buetk-spring-admissions-2026
16,BSc Electrical Engineering,Available upon contact,,https://www.pakadmissions.com/balochistan-university-of-engineering-technology-khuzdar-buetk-spring-admissions-2026
17,BBA,Available upon contact,50,https://pmdc.org.pk/balochistan-university-of-information-technology-engineering-and-management-sciences-buitems-admission-guide/
17,BS Biotechnology,Available upon contact,50,https://pmdc.org.pk/balochistan-university-of-information-technology-engineering-and-management-sciences-buitems-admission-guide/
17,BS Civil Engineering,Available upon contact,50,https://pmdc.org.pk/balochistan-university-of-information-technology-engineering-and-management-sciences-buitems-admission-guide/
17,BS Computer Science,Available upon contact,50,https://pmdc.org.pk/balochistan-university-of-information-technology-engineering-and-management-sciences-buitems-admission-guide/
17,BS Electrical Engineering,Available upon contact,50,https://pmdc.org.pk/balochistan-university-of-information-technology-engineering-and-management-sciences-buitems-admission-guide/
18,BS Computer Science,Available upon contact,45,https://uobs.edu.pk/admissions/
18,BS Environmental Science,Available upon contact,45,https://uobs.edu.pk/admissions/
19,BDS,Available upon contact,,http://www.baqai.edu.pk/
19,MBBS,Available upon contact,,http://www.baqai.edu.pk/
20,B.Des (Visual Communication Design / Textile and Fibre Studies / Fashion Design / Jewelry and Accessory),Available upon contact,50,https://www.ilmkidunya.com/colleges/beaconhouse-national-university-bnu-lahore-admission.aspx
20,B.Sc (Hons) Economics / Applied Psychology,Available upon contact,50,https://www.ilmkidunya.com/colleges/beaconhouse-national-university-bnu-lahore-admission.aspx
20,BA (Hons) Social Sciences (Media Studies/Liberal Studies) / BS Journalism and Media Studies,Available upon contact,50,https://www.pakadmissions.com/beaconhouse-national-university-bnu-fall-admission-2026
20,BBA (Hons) / BS Business Intelligence and Analytics / BS Hospitality Management,Available upon contact,50,https://www.pakadmissions.com/beaconhouse-national-university-bnu-fall-admission-2026
20,BS Computer Science / Software Engineering / Artificial Intelligence,Available upon contact,50,https://jaamiah.com/university/beaconhouse-national-university-lahore/
20,"Bachelor of Architecture (B.Arch, 5 Years, PCATP Accredited)",Available upon contact,50,https://www.ilmkidunya.com/colleges/beaconhouse-national-university-bnu-lahore-admission.aspx
21,B.Ed (4 Years),62.14%-63.34% (Fall 2022 official merit list range),50,https://bnbwu.edu.pk/wp-content/uploads/2022/10/Merit-list-fall-2022.pdf
21,BBA / BS Management Technology,59.00%-68.35% (Fall 2022 official merit list range),50,https://bnbwu.edu.pk/wp-content/uploads/2022/10/Merit-list-fall-2022.pdf
21,BS Biotechnology,59.00%-67.51% (Fall 2022 official merit list range),50,https://bnbwu.edu.pk/wp-content/uploads/2022/10/Merit-list-fall-2022.pdf
21,BS Computer Science,63.09%-71.00% (Fall 2022 official merit list range),50,https://bnbwu.edu.pk/wp-content/uploads/2022/10/Merit-list-fall-2022.pdf
21,BS English,63.50%-66.87% (Fall 2022 official merit list range),50,https://bnbwu.edu.pk/wp-content/uploads/2022/10/Merit-list-fall-2022.pdf
21,Doctor of Physiotherapy (DPT),"57.44%-79.79% (Fall 2022 official merit list range, actual admitted candidates)",60,https://bnbwu.edu.pk/wp-content/uploads/2022/10/Merit-list-fall-2022.pdf
22,BS (general programs),Available upon contact,45,https://www.ilmkidunya.com/colleges/benazir-bhutto-shaheed-university-lyari-karachi-admission.aspx
23,BSc Engineering Technology (Civil/Electrical/Mechanical/Computer),Available upon contact,,https://en.wikipedia.org/wiki/Benazir_Bhutto_Shaheed_University_of_Technology_and_Skill_Development
24,BBA,Available upon contact,50,https://www.cecos.edu.pk/
24,BS Computer Science,Available upon contact,50,https://www.cecos.edu.pk/
24,BS English,Available upon contact,50,https://www.cecos.edu.pk/
24,BS Mechanical Engineering Technology,Available upon contact,50,https://www.cecos.edu.pk/
25,BS (Accounting & Finance),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Artificial Intelligence),"87.69 (Spring 2025 closing merit, Islamabad Morning)",,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Business Administration),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Business Data Analytics),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Chemical Engineering),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Chemistry),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Computer Engineering),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Computer Science),"88.26 (Spring 2025 closing merit, Islamabad Morning)",,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Economics with Data Science),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Economics),"50.45 (Spring 2025 closing merit, Islamabad Morning)",,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Electrical Engineering),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Electronics and Computing),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Mathematics with Data Science),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Mathematics),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Physics),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Psychology),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS (Software Engineering),"87.2 (Spring 2025 closing merit, Islamabad Morning)",,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS English (Language & Literature),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS Media and Communication Studies,Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,BS Statistics (Data Science),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,Bachelor of Architecture,Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,Bachelor of Design,Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
25,Doctor of Pharmacy (Pharm D),Available upon contact,,https://lahore.comsats.edu.pk/Academics/Offered-Programs.aspx
26,BBA,Available upon contact,50,https://pmdc.org.pk/capital-university-of-science-technology-cust-islamabad/
26,BS Civil Engineering,Available upon contact,50,https://www.eduvision.edu.pk/capital-university-of-science-and-technology-cust-islamabad-ins-710
26,BS Computer Science (BSCS),Available upon contact,50,https://pmdc.org.pk/capital-university-of-science-technology-cust-islamabad/
26,BS Electrical Engineering,Available upon contact,50,https://www.eduvision.edu.pk/capital-university-of-science-and-technology-cust-islamabad-ins-710
26,BS Information Technology (BSIT),Available upon contact,50,https://pmdc.org.pk/capital-university-of-science-technology-cust-islamabad/
26,BS Mechanical Engineering,Available upon contact,50,https://www.eduvision.edu.pk/capital-university-of-science-and-technology-cust-islamabad-ins-710
26,BS Software Engineering (BSSE),Available upon contact,50,https://pmdc.org.pk/capital-university-of-science-technology-cust-islamabad/
27,BBA,Available upon contact,50,https://gotest.com.pk/merit-list/city-university-peshawar-merit-list/
27,BS Civil Engineering,Available upon contact,50,https://www.ilmkidunya.com/colleges/city-university-of-science-information-technology-peshawar.aspx
27,BS Computer Science (BCS),Available upon contact,50,https://gotest.com.pk/merit-list/city-university-peshawar-merit-list/
27,BS Electrical Engineering,Available upon contact,50,https://www.ilmkidunya.com/colleges/city-university-of-science-information-technology-peshawar.aspx
28,BBA / Business Administration / Artificial Intelligence,Available upon contact,50,https://pmdc.org.pk/dha-suffa-university-karachi/
28,BS Computer Science,Available upon contact,60,https://www.ilmkidunya.com/colleges/dha-suffa-university-karachi-admission.aspx
28,BS Electrical Engineering / Software Engineering,Available upon contact,50,https://pmdc.org.pk/dha-suffa-university-karachi/
29,BBA,Available upon contact,40,https://www.vstudents.org/education/dihe-karachi-admissions/
29,BS Computer Science,Available upon contact,40,https://www.vstudents.org/education/dihe-karachi-admissions/
29,LLB (4 Years),Available upon contact,40,https://www.vstudents.org/education/dihe-karachi-admissions/
30,BE (all engineering disciplines) / B.Arch,Available upon contact,50,https://admissions.duet.edu.pk/admission-policy/
30,BS Computer Sciences / Mathematics,Available upon contact,50,https://admissions.duet.edu.pk/bs-program/
30,BS Management & Technology / Industrial Management & Technology,Available upon contact,50,https://admissions.duet.edu.pk/eligibility/
30,BS Material Science,Available upon contact,50,https://admissions.duet.edu.pk/eligibility/
31,BDS,"~78.72% (2024 cycle, open merit)",60,https://www.paklearningspot.com/2022/12/expected-mbbs-closing-merit-of-medical.html
31,BS Medical Technology,Available upon contact,50,https://pmdc.org.pk/dow-university-of-health-sciences-duhs-admission-guide/
31,BS Nursing,Available upon contact,50,https://pmdc.org.pk/dow-university-of-health-sciences-duhs-admission-guide/
31,MBBS,"~80.92% (2024 cycle, open merit, Dow Medical College); ~79.83% (self-finance)",60,https://www.paklearningspot.com/2022/12/expected-mbbs-closing-merit-of-medical.html
31,Pharm-D,Available upon contact,50,https://pmdc.org.pk/dow-university-of-health-sciences-duhs-admission-guide/
32,BBA / Business Administration (4 Years),Available upon contact,,https://www.result.pk/colleges/emaan-institute-of-management-and-sciences-admission.html
32,BS Computer Science (4 Years),Available upon contact,,https://www.result.pk/colleges/emaan-institute-of-management-and-sciences-admission.html
33,BS Artificial Intelligence,Available upon contact,45,https://eum.edu.pk/merit-list/
33,BS Computer Science,Available upon contact,45,https://eum.edu.pk/merit-determination/
33,BS Cyber Security,Available upon contact,45,https://eum.edu.pk/list-of-the-qualifying-students-for-admission-of-bs-cyber-security-session-2023-2027/
33,BS Data Science,Available upon contact,45,https://eum.edu.pk/merit-list/
33,BS Information Technology,Available upon contact,45,https://eum.edu.pk/2nd-list-of-the-qualifying-students-for-admission-of-bs-information-technology-session-2023-2027/
33,BS Software Engineering,Available upon contact,45,https://eum.edu.pk/merit-list/
34,BDS,Available upon contact,65,https://pmdc.org.pk/faisalabad-medical-university-fmu-admission-guide/
34,BSc Allied Health Sciences,Available upon contact,50,https://jaamiah.com/university/faisalabad-medical-university/
34,BSc Nursing,Available upon contact,50,https://jaamiah.com/university/faisalabad-medical-university/
34,MBBS,"93.79% (2025-26 UHS final open-merit list, Punjab Medical College)",65,https://premeth.com/calculator
35,"B.Ed (2 Years, post-BS)",Available upon contact,45,https://fjwu.edu.pk/admission-criteria/admission-requirements/
35,BCS (Computer Science),Available upon contact,60,https://fjwu.edu.pk/admission-criteria/
35,BS Behavioral Sciences / Education,Available upon contact,,https://fjwu.edu.pk/admission-criteria/
35,BS Engineering,Available upon contact,,https://fjwu.edu.pk/admission-criteria/
35,LLB,Available upon contact,50,https://fjwu.edu.pk/admission-criteria/
36,BBA,Available upon contact,50,https://sciknowledgehub.com/federal-urdu-university-of-arts-sciences-technology-fuuast-admission-details/
36,BS Computer Science / Artificial Intelligence / Cyber Security,Available upon contact,50,https://sciknowledgehub.com/federal-urdu-university-of-arts-sciences-technology-fuuast-admission-details/
36,BS Psychology / Economics / Commerce / Zoology / Chemistry / Geography / International Relations / Social Work,"45-84% (real 2024 department merit range, actual selected candidates)",45,https://fuuast.edu.pk/wp-content/uploads/2023/12/Admission-2024-Morning-2nd-Open-Merit-List-Web-Copy.pdf
36,BS Urdu / Arabic / Sindhi / Islamiat,"45-83% (real 2023-24 department merit range, actual selected candidates)",45,https://sciknowledgehub.com/federal-urdu-university-of-arts-sciences-technology-fuuast-admission-details/
36,Pharm-D,Available upon contact,60,https://sciknowledgehub.com/federal-urdu-university-of-arts-sciences-technology-fuuast-admission-details/
37,BS (Hons) Biotechnology,Available upon contact,50,https://ratta.com.pk/fc-college-merit-list/
37,BS (Hons) Business (Accounting & Finance/Marketing/HR),Available upon contact,50,https://ratta.com.pk/fc-college-merit-list/
37,BS (Hons) Computer Science,Available upon contact,50,https://www.ilmkidunya.com/colleges/forman-christian-college-university-lahore-admission.aspx
37,Bachelor of Physics / Mathematics / Psychology / Sociology / History,Available upon contact,50,https://www.ilmkidunya.com/colleges/forman-christian-college-university-lahore-admission.aspx
38,BBA,Available upon contact,50,https://pmdc.org.pk/foundation-university-islamabad-fui-admission-guide/
38,BS Computer Science,Available upon contact,50,https://pmdc.org.pk/foundation-university-islamabad-fui-admission-guide/
38,BS Psychology,Available upon contact,50,https://pmdc.org.pk/foundation-university-islamabad-fui-admission-guide/
38,DPT,Available upon contact,,https://www.ilmkidunya.com/colleges/foundation-university-islamabad-merit-lists.aspx
38,MBBS,Available upon contact,,https://campusaxis.pk/blog/foundation-university-islamabad-university-complete-guide-2026-admissions-programs-careers
39,BS Accounting & Finance,Available upon contact,60,https://www.vstudents.org/education/gift-university-gujranwala-admissions/
39,BS Business Administration / BBA,Available upon contact,60,https://pmdc.org.pk/gift-university-gujranwala/
39,BS Computer Science,Available upon contact,60,https://www.vstudents.org/education/gift-university-gujranwala-admissions/
39,BS Engineering,Available upon contact,60,https://www.vstudents.org/education/gift-university-gujranwala-admissions/
39,BS Psychology / English,Available upon contact,60,https://www.vstudents.org/education/gift-university-gujranwala-admissions/
39,BS Software Engineering,Available upon contact,60,https://pmdc.org.pk/gift-university-gujranwala/
40,BS Civil Engineering,Available upon contact,50,https://pmdc.org.pk/ghazi-national-institute-of-engineering-sciences-gnies-dera-ghazi-khan/
40,BS Computer Engineering,Available upon contact,50,https://pmdc.org.pk/ghazi-national-institute-of-engineering-sciences-gnies-dera-ghazi-khan/
40,BS Electrical Engineering,Available upon contact,50,https://pmdc.org.pk/ghazi-national-institute-of-engineering-sciences-gnies-dera-ghazi-khan/
40,BS Mechanical Engineering,Available upon contact,50,https://pmdc.org.pk/ghazi-national-institute-of-engineering-sciences-gnies-dera-ghazi-khan/
41,BS Computer Science,Available upon contact,45,https://gu.edu.pk/
41,BS Economics,Available upon contact,45,https://gu.edu.pk/
41,BS Information Technology,Available upon contact,45,https://gu.edu.pk/
41,LLB,Available upon contact,45,https://gu.edu.pk/
42,BS Artificial Intelligence / Data Science,Available upon contact,60,https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/
42,BS Computer Science,Available upon contact - Merit = 85% GIKI Entry Test + 15% FSc/A-Level,60,https://pmdc.org.pk/giki-ghulam-ishaq-khan-institute-admission-guide/
42,BS Electrical Engineering,Available upon contact - Merit = 85% Entry Test + 15% FSc,60,https://pmdc.org.pk/giki-ghulam-ishaq-khan-institute-admission-guide/
42,BS Management Sciences,Available upon contact,60,https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/
42,BS Mechanical Engineering,Available upon contact,60,https://blog.maqsad.io/blog/giki-registration-guide
43,"BDS (Gomal Medical College, affiliated)",Available upon contact,60,https://pmdc.org.pk/gomal-medical-college-dera-ismail-khan/
43,BS Computer Science,Available upon contact,50,https://jaamiah.com/university/gomal-university-dik/
43,BS Islamic Studies,Available upon contact,50,https://www.result.pk/merit-list/2023/gomal-university/dera-ismail-khan-latest/
43,BS Pakistan Studies,Available upon contact,50,https://www.result.pk/merit-list/gomal-university/bs-pakistan-studies/dera-ismail-khan-latest/
43,"MBBS (Gomal Medical College, affiliated)",Available upon contact,60,https://pmdc.org.pk/gomal-medical-college-dera-ismail-khan/
44,BBA,Available upon contact,,https://meraadmission.net/government-college-university-faisalabad-gcuf-admission-guide/
44,BS Chemistry / BS Psychology / BS English,Available upon contact,,https://meraadmission.net/government-college-university-faisalabad-gcuf-admission-guide/
44,BS Computer Science,Available upon contact,50,https://pmdc.org.pk/government-college-university-faisalabad-gcuf-admission-guide/
44,BS Electrical Engineering,Available upon contact,70,https://sabaqguide.com/blog/gc-university-faisalabad-admissions
44,LLB (5-Year),Available upon contact,50,https://sabaqguide.com/blog/gc-university-faisalabad-admissions
45,"BS (general, most departments)","~69.72% (recent cycle, general programs)",50,http://dcs.gcu.edu.pk/DCS/criteria
45,BS Computer Science,~69.72% (last published merit list),50,http://dcs.gcu.edu.pk/DCS/criteria
45,BS Physics,Available upon contact,50,https://campusaxis.pk/gcu-merit-calculator
45,LLB,Available upon contact,50,https://gcu.edu.pk/admissions.php?pg=bs-program
45,Pharm-D (5-Years),Available upon contact,50,https://gcu.edu.pk/admissions.php?pg=bs-program
46,BS Artificial Intelligence,Available upon contact,45,https://www.result.pk/merit-list/the-government-sadiq-college-women-university/bs-artificial-intelligence/bahawalpur-latest/
46,BS Artificial Intelligence (BS AI),Available upon contact,,http://www.gscwu.edu.pk/
46,BS Computer Science (BS CS),Available upon contact,,http://www.gscwu.edu.pk/
46,BS Food Sciences and Technology,Available upon contact,45,https://www.result.pk/merit-list/the-government-sadiq-college-women-university/bahawalpur-latest/
46,BS Information Technology (BS IT),Available upon contact,,http://www.gscwu.edu.pk/
47,BS (Hons) Botany / Chemistry / Physics / Zoology / Mathematics / Statistics / Information Technology,Available upon contact,,https://pu.edu.pk/affiliation/collegeinfo/301/Govt.-Viqar-un-Nisa-Graduate-College-for-Women-Rawalpindi
47,BS (Hons) Education / Applied Psychology,Available upon contact,,https://pu.edu.pk/affiliation/collegeinfo/301/Govt.-Viqar-un-Nisa-Graduate-College-for-Women-Rawalpindi
47,BS (Hons) English / Urdu / Political Science / Islamic Studies / Business Administration / Fine Arts,Available upon contact,,https://pu.edu.pk/affiliation/collegeinfo/301/Govt.-Viqar-un-Nisa-Graduate-College-for-Women-Rawalpindi
48,BBA,Available upon contact,50,https://www.pakadmissions.com/grand-asian-university-sialkot-spring-admission-2026
48,BS Computer Science / Software Engineering,Available upon contact,50,https://pmdc.org.pk/grand-asian-university-sialkot-gaus-admission-guide/
48,BS Zoology / Biotechnology / Biochemistry,Available upon contact,50,https://www.pakadmissions.com/grand-asian-university-sialkot-spring-admission-2026
48,DPT / Pharm-D,Available upon contact,50,https://pmdc.org.pk/grand-asian-university-sialkot-gaus-admission-guide/
48,LLB,Available upon contact,50,https://pmdc.org.pk/grand-asian-university-sialkot-gaus-admission-guide/
49,BBA,Available upon contact,60,https://jaamiah.com/university/the-green-international-university-lahore/
49,"BS (general, other faculties)",Available upon contact,60,https://alluniversities.pk/listing/the-green-international-university-lahore/
49,BS Computer Science,Available upon contact,60,https://jaamiah.com/university/the-green-international-university-lahore/
50,BS Business Administration / Economics & Finance,Available upon contact,50,https://www.greenwich.edu.pk/eligibility-criteria
50,BS Mass Communication and Media Studies,Available upon contact,50,https://www.greenwich.edu.pk/admissions
50,International Tourism & Hotel Management,Available upon contact,50,https://campusguru.pk/en/university/karachi/greenwich-university-karachi-main-campus
51,BS Biomedical Engineering,Available upon contact,,http://www.hitecuni.edu.pk/
51,BS Civil Engineering,Available upon contact,,http://www.hitecuni.edu.pk/
51,BS Computer Science,Available upon contact,,http://www.hitecuni.edu.pk/
51,BS Electrical Engineering,Available upon contact,,http://www.hitecuni.edu.pk/
51,BS Mechanical Engineering,Available upon contact,,http://www.hitecuni.edu.pk/
52,BS Computer Engineering,Available upon contact,60,https://www.ilmkidunya.com/colleges/habib-university-karachi-admission.aspx
52,BS Computer Science,Available upon contact (holistic: test + essays + interview),65,https://blog.maqsad.io/blog/habib-university-admission
52,BS Electrical Engineering,Available upon contact,60,https://blog.maqsad.io/blog/habib-university-admission
52,BSc (Hons) Social Development & Policy,Available upon contact,55,https://www.ilmkidunya.com/colleges/habib-university-karachi-admission.aspx
53,BS Banking & Finance / Human Resource Management / Marketing Management / Supply Chain Management,Available upon contact,50,https://hup.edu.pk/merit-list/
53,BS Computer Science,Available upon contact,50,https://jaamiah.com/university/hajvery-university-shiekhupura/
53,BS Software Engineering,Available upon contact,50,https://hup.edu.pk/merit-list/
53,BS Tech Electrical / Civil,Available upon contact,50,https://www.ilmkidunya.com/colleges/hajvery-university-lahore-admission.aspx
54,BS-English,Available upon contact,,http://www.hamdard.edu.pk/
55,BS Architecture (5 Years),Available upon contact,50,https://www.hu.edu.pk/program/15
55,BS Biotechnology / Biochemistry / Microbiology,Available upon contact,50,https://pmdc.org.pk/hazara-university-mansehra/
55,BS Computer Science,Available upon contact,50,https://pmdc.org.pk/hazara-university-mansehra/
55,BS Management Sciences / BBA,Available upon contact,50,https://pmdc.org.pk/hazara-university-mansehra/
